id,title,image,video_vf,video_vo
1,Halo Wars,https://hazzbrogaming.files.wordpress.com/2019/03/halo-wars-definitive-edition.png,https://www.youtube.com/embed/6HJlZPwFktI,https://www.youtube.com/embed/kGFvbnJJ6Fg
2,Halo Reach,https://compass-ssl.xbox.com/assets/28/64/28647ed8-2431-461e-bcf5-e020b4392264.jpg?n=Halo-MCC_Image-0_Boxshot-Halo-Reach_321x484_02.jpg,https://www.youtube.com/embed/1qJIy1JWf3w?start=58,https://www.youtube.com/embed/bIJtBMcf-lY
3,Halo : Combat Evolved,http://online.fliphtml5.com/dzqj/euvv/files/page/1.jpg,https://www.youtube.com/embed/K5NNQ-_jPEY?start=57,https://www.youtube.com/embed/32wp-gaRX8Q
4,Halo 2,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/cb07e670-4536-41d6-8a71-bc47745cc1ba/d5voodk-ac472323-c11b-45ec-a708-50d14bbe006b.jpg/v1/fill/w_1280,h_1920,q_75,strp/halo_2_poster_by_skcrisis_d5voodk-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTkyMCIsInBhdGgiOiJcL2ZcL2NiMDdlNjcwLTQ1MzYtNDFkNi04YTcxLWJjNDc3NDVjYzFiYVwvZDV2b29kay1hYzQ3MjMyMy1jMTFiLTQ1ZWMtYTcwOC01MGQxNGJiZTAwNmIuanBnIiwid2lkdGgiOiI8PTEyODAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.LQsNu-twA47UZfJRsARAB9K3Hdr4GlFm4N9GeJ26Nbk",https://www.youtube.com/embed/wVaQpDv3-Y0,https://www.youtube.com/embed/QRAT-nzO-G4
5,Halo 3 : ODST,https://images-na.ssl-images-amazon.com/images/I/81kBcvv9h5L._SY679_.jpg,https://www.youtube.com/embed/VofXcqXgiCw,https://www.youtube.com/embed/oGGNjFiTQh0
6,Halo 3,https://st.hzcdn.com/simgs/7621085b0c815904_4-7767/home-design.jpg,https://www.youtube.com/embed/kC4MX9JOJx4,https://www.youtube.com/embed/Y-kPf1eFNHI
7,Halo 4 : Forward Unto Dawn (Aube de l'Ésperance),https://images-na.ssl-images-amazon.com/images/I/51cARI%2Bdu%2BL.jpg,https://www.youtube.com/embed/SSMlt3Qxmp8,https://www.youtube.com/embed/ZFmhpg_pruQ
8,Halo 4,https://cdn11.bigcommerce.com/s-yzgoj/images/stencil/1280x1280/products/1516840/3925805/PYR5336__51016.1541748701.jpg?c=2&imbypass=on,https://www.youtube.com/embed/vz61yeCa9ks,https://www.youtube.com/embed/iRBUQr_Y8bU
9,Halo 5 : Guardians,http://getwallpapers.com/wallpaper/full/1/3/e/251133.jpg,https://www.youtube.com/embed/eQpW5KO6occ,"https://www.youtube.com/embed/UNrL5AqqvsM
"
10,Halo Wars 2,https://images-na.ssl-images-amazon.com/images/I/515yKksAezL._AC_.jpg,https://www.youtube.com/embed/YR4h-HDu79o,https://www.youtube.com/embed/v7S2LKKU-Eo
11,Halo Wars 2 : Awakening the Nightmare,https://cdn.shopify.com/s/files/1/0798/5303/products/halo_djdjd_1_1024x1024@2x.jpg?v=1498343675,https://www.youtube.com/embed/aHZ-zZE7OuE,https://www.youtube.com/embed/ARePKGJfs9k
12,Halo 6 : Infinite,https://scontent-frt3-2.cdninstagram.com/vp/1008441692be1f0cf2af5e6b22fc5361/5E434F24/t51.2885-15/e35/66259399_103251494264997_4825588073561696239_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&se=8&ig_cache_key=MjA4NjIwNjA5MjM0NzMyNzYyMw%3D%3D.2,,https://www.youtube.com/embed/Fmdb-KmlzD8
